ventil;ventyl
chartisty;chartysty
chartistů;chartystů
trombonista;trombonysta
radista;radysta
urbanistů;urbanystů
judistům;judystům
internisty;internysty
fejetonista;fejetonysta
postkomunistů;postkomunystů
protagonistu;protagonystu
impresionisty;impresionysty
urbanisty;urbanysty
chartisté;chartysté
taekwondisté;taekwondysté
srandista;srandysta
humanisty;humanysty
statisty;statysty
kolonisty;kolonysty
gardistů;gardystů
skateboardistů;skateboardystů
baptistů;baptystů
ženistů;ženystů
portrétista;portrétysta
religionista;religionysta
unionistům;unyonystům
battista;battysta
trumpetistu;trumpetystu
pianistů;pianystů
saxofonistu;saxofonystu
biatlonistům;biatlonystům
internisté;internysté
hornista;hornysta
nudisté;nudysté
bautista;bautysta
libretisty;libretysty
skialpinisté;skialpinysté
esperantistů;esperantystů
barytonisty;barytonysty
baptista;baptysta
judistu;judystu
badmintonisty;badmintonysty
parašutistu;parašutystu
flétnisty;flétnysty
humanisté;humanysté
postkomunisty;postkomunysty
preventisty;preventysty
modernisty;modernysty
dentista;dentysta
komunistovi;komunystovi
internistů;internystů
basbarytonista;basbarytonysta
germanista;germanysta
klarinetisty;klarinetysty
snowboardistům;snowboardystům
impresionisté;impresionysté
džihádistům;džihádystům
antikomunisté;antykomunysté
exhibicionisty;exhibicionysty
preventistů;preventystů
nudisty;nudysty
telefonista;telefonysta
slovanisté;slovanysté
iluzionisty;iluzionysty
exhibicionistu;exhibicionystu
modernistů;modernystů
esperantisté;esperantysté
judistou;judystou
komponista;komponysta
konkretistů;konkretystů
antikomunisty;antykomunysty
skialpinisty;skialpinysty
komponisty;komponysty
propagandisté;propagandysté
batisty;batysty
pianisté;pianysté
paraglidisté;paraglidysté
expresionisty;expresionysty
skialpinista;skialpinysta
duatlonista;duatlonysta
perkusionista;perkusionysta
fagotista;fagotysta
triatlonistu;triatlonystu
loutnista;loutnysta
sionisté;sionysté
velocipedisté;velocipedysté
gardisty;gardysty
exhibicionisté;exhibicionysté
autistům;autystům
stipendista;stypendysta
pianistovi;pianystovi
skialpinistů;skialpinystů
statista;statysta
baptisty;baptysty
stipendistů;stypendystů
paraglidisty;paraglidysty
džihádista;džihádysta
modernista;modernysta
trumpetistů;trumpetystů
autistu;autystu
humanistů;humanystů
statisté;statysté
pozounista;pozounysta
karatistům;karatystům
skateboardista;skateboardysta
flétnistou;flétnystou
stalinisté;stalinysté
klarinetistou;klarinetystou
sadisty;sadysty
adventisté;adventysté
portrétisty;portrétysty
oportunista;oportunysta
feminista;feminysta
protagonistovi;protagonystovi
kordista;kordysta
modernisté;modernysté
battisty;battysty
nudistů;nudystů
triatlonistům;triatlonystům
trumpetisté;trumpetysté
biatlonistu;biatlonystu
komponistů;komponystů
snowboardistu;snowboardystu
kordistů;kordystů
stipendisté;stypendysté
antikomunistů;antykomunystů
mandolinista;mandolinysta
internistou;internystou
dentisty;dentysty
amerikanista;amerikanysta
baptisté;baptysté
velocipedista;velocipedysta
tenorsaxofonista;tenorsaxofonysta
saxofonistů;saxofonystů
triatlonistou;triatlonystou
barytonistu;barytonystu
gardista;gardysta
ženisty;ženysty
šovinista;šovinysta
akordeonisty;akordeonysty
expresionistů;expresionystů
barytonistou;barytonystou
stalinisty;stalinysty
paraglidistů;paraglidystů
tenisti;tenysty
perfekcionisté;perfekcionysté
dentistů;dentystů
stalinista;stalinysta
satanisté;satanysté
parašutistovi;parašutystovi
propagandista;propagandysta
flétnisté;flétnysté
sionisty;sionysty
sionistů;sionystů
libretistou;libretystou
telefonisty;telefonysty
taekwondistů;taekwondystů
paraglidistu;paraglidystu
alpinistů;alpinystů
iluzionisté;iluzionysté
exhibicionistů;exhibicionystů
akordeonisté;akordeonysté
stipendisty;stypendysty
klarinetistu;klarinetystu
parašutistou;parašutystou
klarinetisté;klarinetysté
stalinistů;stalinystů
badmintonistům;badmintonystům
internistu;internystu
propagandisty;propagandysty
avantgardisty;avantgardysty
impresionista;impresionysta
biatlonistou;biatlonystou
protagonistech;protagonystech
alpinista;alpinysta
propagandistů;propagandystů
sadisté;sadysté
fleretista;fleretysta
dentisté;dentysté
akordeonistou;akordeonystou
radisty;radysty
veteránisté;veteránysté
agonisté;agonysté
telefonisté;telefonysté
iluzionistů;iluzionystů
kordisté;kordysté
portrétistou;portrétystou
duatlonisté;duatlonysté
chartistům;chartystům
flétnistů;flétnystů
sadistu;sadystu
akordeonistů;akordeonystů
satanistů;satanystů
interbrigadistů;interbrigadystů
antikomunistou;antykomunystou
oportunisty;oportunysty
judistovi;judystovi
sionista;sionysta
avantgardistů;avantgardystů
antagonisté;antagonysté
inlinisté;inlinysté
flétnistu;flétnystu
hornisty;hornysty
skateboardistům;skateboardystům
artisti;artysty
agonisty;agonysty
humanistu;humanystu
taekwondista;taekwondysta
oportunisté;oportunysté
antagonisty;antagonysty
alpinisty;alpinysty
satanista;satanysta
kvadriatlonista;kvadriatlonysta
saxofonisté;saxofonysté
alpinisté;alpinysté
trombonisty;trombonysty
klarinetistů;klarinetystů
ženista;ženysta
religionisty;religionysty
spiritistů;spiritystů
snowboardisti;snowboardysty
antagonista;antagonysta
vibrafonista;vibrafonysta
batistu;batystu
duatlonistů;duatlonystů
sadistů;sadystů
giambattista;giambattysta
nekomunisté;nekomunysté
antikomunistu;antykomunystu
telefonistů;telefonystů
agonistů;agonystů
parašutisti;parašutysty
tabletenisté;tabletenysté
kolonistům;kolonystům
chartistu;chartystu
antagonistů;antagonystů
hornisté;hornysté
veteránistů;veteránystů
loutnisty;loutnysty
germanisty;germanysty
satanisty;satanysty
zapatisté;zapatysté
perfekcionisty;perfekcionysty
onanista;onanysta
bautistou;bautystou
oportunistů;oportunystů
artistu;artystu
parašutistech;parašutystech
batiste;batyste
okultista;okultysta
expresionista;expresionysta
nekomunistů;nekomunystů
romanista;romanysta
snowboardistou;snowboardystou
nudista;nudysta
hornistů;hornystů
bautistu;bautystu
šovinisté;šovinysté
expresionisté;expresionysté
snowboardistovi;snowboardystovi
tenistech;tenystech
kreacionisté;kreacionysté
mopedistů;mopedystů
exkomunistů;exkomunystů
saxofonistovi;saxofonystovi
radistu;radystu
fejetonisty;fejetonysty
karatistu;karatystu
trumpetistovi;trumpetystovi
iluzionistou;iluzionystou
portrétistů;portrétystů
iluzionistu;iluzionystu
externistům;externystům
postkomunistům;postkomunystům
avantgardista;avantgardysta
humanistou;humanystou
šovinisty;šovinysty
radisté;radysté
altsaxofonista;altsaxofonysta
exkomunista;exkomunysta
spiritisté;spiritysté
avantgardisté;avantgardysté
trabantisté;trabantysté
badmintonistou;badmintonystou
encyklopedista;encyklopedysta
separatista;separatysta
nekomunista;nekomunysta
kalvinisté;kalvinysté
postmodernisté;postmodernysté
exkomunisté;exkomunysté
chartistou;chartystou
nudistům;nudystům
sionistům;sionystům
dentistu;dentystu
biatlonistovi;biatlonystovi
nekomunisty;nekomunysty
komanditisty;komandytysty
trombonistou;trombonystou
esperantisty;esperantysty
telefonistu;telefonystu
revizionisté;revizionysté
badmintonistu;badmintonystu
ortodontista;ortodontysta
okultisty;okultysty
autistou;autystou
triatlonistovi;triatlonystovi
akordeonistu;akordeonystu
esperantista;esperantysta
kamionista;kamionysta
skialpinistu;skialpinystu
polonista;polonysta
trabantistů;trabantystů
zapatistů;zapatystů
revizionisty;revizionysty
portrétistu;portrétystu
veteránista;veteránysta
exhibicionistovi;exhibicionystovi
agonista;agonysta
inlinisté;inlinysté
postmodernista;postmodernysta
externistu;externystu
šovinistů;šovinystů
tabletenistů;tabletenystů
radistou;radystou
metodisté;metodysté
exkomunisty;exkomunysty
skeletonista;skeletonysta
urbanistou;urbanystou
veteránisty;veteránysty
radistů;radystů
okultisté;okultysté
oportunistu;oportunystu
germanistů;germanystů
statistu;statystu
libretistů;libretystů
perkusionisty;perkusionysty
karavanisté;karavanysté
